"-- Please Select --","-- Please Select --"
"Both Currency and Percentage","Both Currency and Percentage"
"Currency Only","Currency Only"
"Display Quantities as Ranges","Display Quantities as Ranges"
"Display Savings As","Display Savings As"
"General","General"
"If first tier starts at 5, this would display a new tier for Qty: 1-4, Price: product's price, Savings: - ","If first tier starts at 5, this would display a new tier for Qty: 1-4, Price: product's price, Savings: - "
"If tiers are 5, 10, 20, this would display the quantities as '5 - 9', '10 - 19', and '20+'.","If tiers are 5, 10, 20, this would display the quantities as '5 - 9', '10 - 19', and '20+'."
"Infer Missing Tier","Infer Missing Tier"
"Percentage Only","Percentage Only"
"Price Table Header Text","Price Table Header Text"
"Quantity Table Header Text","Quantity Table Header Text"
"Savings Table Header Text","Savings Table Header Text"
"Text to use as a table header.","Text to use as a table header."
"Tier Pricing Tables","Tier Pricing Tables"
